,,2020,2021,2022,2023
AAPL,Accumulated Other Comprehensive Income,-406000000.0,163000000.0,-11109000000.0,-11452000000.0
AAPL,Other Total Shareholder Equity,0.0,0.0,0.0,0.0
AAPL,Total Shareholder Equity,65339000000.0,63090000000.0,50672000000.0,62146000000.0
AAPL,Total Equity,65339000000.0,63090000000.0,50672000000.0,62146000000.0
AAPL,Total Liabilities and Shareholder Equity,323888000000.0,351002000000.0,352755000000.0,352583000000.0
AAPL,Minority Interest,0.0,0.0,0.0,0.0
AAPL,Total Liabilities and Equity,323888000000.0,351002000000.0,352755000000.0,352583000000.0
AAPL,Total Investments,153814000000.0,155576000000.0,145463000000.0,31590000000.0
AAPL,Total Debt,112436000000.0,124719000000.0,120069000000.0,101266000000.0
AAPL,Net Debt,74420000000.0,89779000000.0,96423000000.0,71301000000.0
MSFT,Cash and Cash Equivalents,13576000000.0,14224000000.0,13931000000.0,34704000000.0
MSFT,Short Term Investments,122951000000.0,116110000000.0,90826000000.0,76558000000.0
MSFT,Cash and Short Term Investments,136527000000.0,130334000000.0,104757000000.0,111262000000.0
MSFT,Accounts Receivable,32011000000.0,38043000000.0,44261000000.0,48688000000.0
MSFT,Inventory,1895000000.0,2636000000.0,3742000000.0,2500000000.0
MSFT,Other Current Assets,11482000000.0,13393000000.0,16924000000.0,21807000000.0
MSFT,Total Current Assets,181915000000.0,184406000000.0,169684000000.0,184257000000.0
MSFT,"Property, Plant and Equipment",52904000000.0,70803000000.0,87546000000.0,109987000000.0
MSFT,Goodwill,43351000000.0,49711000000.0,67524000000.0,67886000000.0
MSFT,Intangible Assets,7038000000.0,7800000000.0,11298000000.0,9366000000.0
MSFT,Long Term Investments,2965000000.0,5984000000.0,6891000000.0,9879000000.0
MSFT,Tax Assets,0.0,0.0,0.0,0.0
MSFT,Other Fixed Assets,13138000000.0,15075000000.0,21897000000.0,30601000000.0
MSFT,Fixed Assets,119396000000.0,149373000000.0,195156000000.0,227719000000.0
MSFT,Other Assets,0.0,0.0,0.0,0.0
MSFT,Total Assets,301311000000.0,333779000000.0,364840000000.0,411976000000.0
MSFT,Accounts Payable,12530000000.0,15163000000.0,19000000000.0,18095000000.0
MSFT,Short Term Debt,3749000000.0,8072000000.0,2749000000.0,5247000000.0
MSFT,Tax Payables,2130000000.0,2174000000.0,4067000000.0,4152000000.0
MSFT,Deferred Revenue,36000000000.0,41525000000.0,45538000000.0,50901000000.0
MSFT,Other Current Liabilities,20031000000.0,23897000000.0,27795000000.0,29906000000.0
MSFT,Total Current Liabilities,72310000000.0,88657000000.0,95082000000.0,104149000000.0
MSFT,Long Term Debt,67249000000.0,59703000000.0,58521000000.0,54718000000.0
MSFT,Deferred Revenue Non Current,3180000000.0,2616000000.0,2870000000.0,2912000000.0
MSFT,Deferred Tax Liabilities,204000000.0,198000000.0,230000000.0,433000000.0
MSFT,Other Non Current Liabilities,40064000000.0,40617000000.0,41595000000.0,43541000000.0
MSFT,Total Non Current Liabilities,110697000000.0,103134000000.0,103216000000.0,101604000000.0
MSFT,Other Liabilities,0.0,0.0,0.0,0.0
MSFT,Capital Lease Obligations,7671000000.0,9629000000.0,11489000000.0,12728000000.0
MSFT,Total Liabilities,183007000000.0,191791000000.0,198298000000.0,205753000000.0
MSFT,Preferred Stock,0.0,0.0,0.0,0.0
MSFT,Common Stock,80552000000.0,83111000000.0,86939000000.0,93718000000.0
MSFT,Retained Earnings,34566000000.0,57055000000.0,84281000000.0,118848000000.0
MSFT,Accumulated Other Comprehensive Income,3186000000.0,1822000000.0,-4678000000.0,-6343000000.0
MSFT,Other Total Shareholder Equity,0.0,0.0,0.0,0.0
MSFT,Total Shareholder Equity,118304000000.0,141988000000.0,166542000000.0,206223000000.0
MSFT,Total Equity,118304000000.0,141988000000.0,166542000000.0,206223000000.0
MSFT,Total Liabilities and Shareholder Equity,301311000000.0,333779000000.0,364840000000.0,411976000000.0
MSFT,Minority Interest,0.0,0.0,0.0,0.0
MSFT,Total Liabilities and Equity,301311000000.0,333779000000.0,364840000000.0,411976000000.0
MSFT,Total Investments,125916000000.0,122094000000.0,97709000000.0,86437000000.0
MSFT,Total Debt,70998000000.0,67775000000.0,61270000000.0,59965000000.0
MSFT,Net Debt,57422000000.0,53551000000.0,47339000000.0,25261000000.0
